0001F604 E415
0001F60A E056
0001F603 E057
000263A E414
0001F609 E405
0001F60D E106
0001F618 E418
0001F61A E417
0001F633 E40D
0001F60C E40A
0001F601 E404
0001F61C E105
0001F61D E409
0001F612 E40E
0001F60F E402
0001F613 E108
0001F614 E403
0001F61E E058
0001F616 E407
0001F625 E401
0001F630 E40F
0001F628 E40B
0001F623 E406
0001F622 E413
0001F62D E411
0001F602 E412
0001F632 E410
0001F631 E107
0001F620 E059
0001F621 E416
0001F62A E408
0001F637 E40C
0001F47F E11A
0001F47D E10C
0001F49B E32C
0001F499 E32A
0001F49C E32D
0001F497 E328
0001F49A E32B
0002764 E022
0001F494 E023
0001F493 E327
0001F498 E329
0002728 E32E
0001F31F E335
0001F4A2 E334
0002755 E337
0002754 E336
0001F4A4 E13C
0001F4A8 E330
0001F4A6 E331
0001F3B6 E326
0001F3B5 E03E
0001F525 E11D
0001F4A9 E05A
0001F44D E00E
0001F44E E421
0001F44C E420
0001F44A E00D
000270A E010
000270C E011
0001F44B E41E
000270B E012
0001F450 E422
0001F446 E22E
0001F447 E22F
0001F449 E231
0001F448 E230
0001F64C E427
0001F64F E41D
000261D E00F
0001F44F E41F
0001F4AA E14C
0001F6B6 E201
0001F3C3 E115
0001F46B E428
0001F483 E51F
0001F46F E429
0001F646 E424
0001F645 E423
0001F481 E253
0001F647 E426
0001F48F E111
0001F491 E425
0001F486 E31E
0001F487 E31F
0001F485 E31D
0001F466 E001
0001F467 E002
0001F469 E005
0001F468 E004
0001F476 E51A
0001F475 E519
0001F474 E518
0001F471 E515
0001F472 E516
0001F473 E517
0001F477 E51B
0001F46E E152
0001F47C E04E
0001F478 E51C
0001F482 E51E
0001F480 E11C
0001F463 E536
0001F48B E003
0001F444 E41C
0001F442 E41B
0001F440 E419
0001F443 E41A
0002600 E04A
0002614 E04B
0002601 E049
00026C4 E048
0001F319 E04C
00026A1 E13D
0001F300 E443
0001F30A E43E
0001F431 E04F
0001F436 E052
0001F42D E053
0001F439 E524
0001F430 E52C
0001F43A E52A
0001F438 E531
0001F42F E050
0001F428 E527
0001F43B E051
0001F437 E10B
0001F42E E52B
0001F417 E52F
0001F435 E109
0001F412 E528
0001F434 E01A
0001F40E E134
0001F42B E530
0001F411 E529
0001F418 E526
0001F40D E52D
0001F426 E521
0001F424 E523
0001F414 E52E
0001F427 E055
0001F41B E525
0001F419 E10A
0001F420 E522
0001F41F E019
0001F433 E054
0001F42C E520
0001F490 E306
0001F338 E030
0001F337 E304
0001F340 E110
0001F339 E032
0001F33B E305
0001F33A E303
0001F341 E118
0001F343 E447
0001F342 E119
0001F334 E307
0001F335 E308
0001F33E E444
0001F41A E441
0001F38D E436
0001F49D E437
0001F38E E438
0001F392 E43A
0001F393 E439
0001F38F E43B
0001F386 E117
0001F387 E440
0001F390 E442
0001F391 E446
0001F383 E445
0001F47B E11B
0001F385 E448
0001F384 E033
0001F381 E112
0001F514 E325
0001F389 E312
0001F388 E310
0001F4BF E126
0001F4C0 E127
0001F4F7 E008
0001F3A5 E03D
0001F4BB E00C
0001F4FA E12A
0001F4F1 E00A
0001F4E0 E00B
000260E E009
0001F4BD E316
0001F4FC E129
0001F50A E141
0001F4E2 E142
0001F4E3 E317
0001F4FB E128
0001F4E1 E14B
00027BF E211
0001F50D E114
0001F513 E145
0001F512 E144
0001F511 E03F
0002702 E313
0001F528 E116
0001F4A1 E10F
0001F4F2 E104
0001F4E9 E103
0001F4EB E101
0001F4EE E102
0001F6C0 E13F
0001F6BD E140
0001F4BA E11F
0001F4B0 E12F
0001F531 E031
0001F6AC E30E
0001F4A3 E311
0001F52B E113
0001F48A E30F
0001F489 E13B
0001F3C8 E42B
0001F3C0 E42A
00026BD E018
00026BE E016
0001F3BE E015
00026F3 E014
0001F3B1 E42C
0001F3CA E42D
0001F3C4 E017
0001F3BF E013
0002660 E20E
0002665 E20C
0002663 E20F
0002666 E20D
0001F3C6 E131
0001F47E E12B
0001F3AF E130
0001F004 E12D
0001F3AC E324
0001F4DD E301
0001F4D6 E148
0001F3A8 E502
0001F3A4 E03C
0001F3A7 E30A
0001F3BA E042
0001F3B7 E040
0001F3B8 E041
000303D E12C
0001F45F E007
0001F461 E31A
0001F460 E13E
0001F462 E31B
0001F455 E006
0001F454 E302
0001F457 E319
0001F458 E321
0001F459 E322
0001F380 E314
0001F3A9 E503
0001F451 E10E
0001F452 E318
0001F302 E43C
0001F4BC E11E
0001F45C E323
0001F484 E31C
0001F48D E034
0001F48E E035
0002615 E045
0001F375 E338
0001F37A E047
0001F37B E30C
0001F378 E044
0001F376 E30B
0001F374 E043
0001F354 E120
0001F35F E33B
0001F35D E33F
0001F35B E341
0001F371 E34C
0001F363 E344
0001F359 E342
0001F358 E33D
